Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status,Total_Income,Log_TotalIncome,Log_LoanAmount,Income_Loan_Ratio,Risk_Category,Risk_Score,Predicted_Loan_Status,Estimated_Interest,Expected_Loss,Estimated_Profit
Male,Yes,1,Graduate,Yes,3717,2925.0,151,360,1,Semiurban,N,6642.0,8.801168401936692,5.017279836814924,43.98675496688742,Medium Risk,60,Y,18.12,0.0,18.12
Male,Yes,0,Graduate,Yes,9560,0.0,191,360,1,Semiurban,Y,9560.0,9.165343006045447,5.25227342804663,50.05235602094241,Medium Risk,60,Y,22.919999999999998,0.0,22.919999999999998
Male,Yes,0,Graduate,No,2799,2253.0,122,360,1,Semiurban,Y,5052.0,8.527539483470381,4.804021044733257,41.40983606557377,Medium Risk,60,Y,14.639999999999999,0.0,14.639999999999999
Male,Yes,2,Not Graduate,No,4226,1040.0,110,360,1,Urban,Y,5266.0,8.569026340056254,4.700480365792417,47.872727272727275,Medium Risk,60,Y,13.2,0.0,13.2
Male,No,0,Not Graduate,No,1442,0.0,35,360,1,Urban,N,1442.0,7.273786317844895,3.5553480614894135,41.2,Medium Risk,60,Y,4.2,0.0,4.2
Female,No,2,Graduate,Yes,3750,2083.0,120,360,1,Semiurban,Y,5833.0,8.671286726753637,4.787491742782046,48.608333333333334,Medium Risk,60,Y,14.399999999999999,0.0,14.399999999999999
Male,Yes,1,Graduate,Yes,4166,3369.0,201,360,1,Urban,N,7535.0,8.927314111060596,5.303304908059076,37.48756218905473,Medium Risk,70,Y,24.119999999999997,0.0,24.119999999999997
Male,No,0,Graduate,No,3167,0.0,74,360,1,Urban,N,3167.0,8.06054004653864,4.30406509320417,42.7972972972973,Medium Risk,70,Y,8.879999999999999,0.0,8.879999999999999
Male,No,1,Graduate,Yes,4692,0.0,106,360,1,Rural,N,4692.0,8.453614209773367,4.663439094112067,44.264150943396224,Medium Risk,60,Y,12.719999999999999,0.0,12.719999999999999
Male,Yes,0,Graduate,No,3500,1667.0,114,360,1,Semiurban,Y,5167.0,8.550047528287184,4.736198448394496,45.324561403508774,Medium Risk,60,Y,13.68,0.0,13.68
Male,No,3,Graduate,No,12500,3000.0,320,360,1,Rural,N,15500.0,9.648595302907339,5.768320995793772,48.4375,Medium Risk,60,Y,38.4,0.0,38.4
Male,Yes,0,Graduate,No,2275,2067.0,127,360,1,Urban,Y,4342.0,8.376090350438238,4.844187086458591,34.188976377952756,Medium Risk,70,Y,15.24,0.0,15.24
Male,Yes,0,Graduate,No,1828,1330.0,100,360,0,Urban,N,3158.0,8.057694194815587,4.605170185988092,31.58,Medium Risk,20,N,12.0,0.0,12.0
Female,Yes,0,Graduate,No,3667,1459.0,144,360,1,Semiurban,Y,5126.0,8.542080906924017,4.969813299576001,35.59722222222222,Medium Risk,60,Y,17.28,0.0,17.28
Male,No,0,Graduate,No,4166,7210.0,184,360,1,Urban,Y,11376.0,9.339261152043022,5.214935757608986,61.82608695652174,Low Risk,90,Y,22.08,0.0,22.08
Male,No,0,Not Graduate,No,3748,1668.0,110,360,1,Semiurban,Y,5416.0,8.59711281459211,4.700480365792417,49.236363636363635,Medium Risk,50,N,13.2,0.0,13.2
Male,No,0,Graduate,No,3600,0.0,80,360,1,Urban,N,3600.0,8.1886891244442,4.382026634673881,45.0,Medium Risk,70,Y,9.6,0.0,9.6
Male,No,0,Graduate,No,1800,1213.0,47,360,1,Urban,Y,3013.0,8.0106915391303,3.8501476017100584,64.1063829787234,Low Risk,90,Y,5.64,0.0,5.64
Male,Yes,0,Graduate,No,2400,0.0,75,360,1,Urban,Y,2400.0,7.783224016336037,4.31748811353631,32.0,Medium Risk,70,Y,9.0,0.0,9.0
Male,Yes,0,Graduate,No,3941,2336.0,134,360,1,Semiurban,Y,6277.0,8.744647438317532,4.897839799950911,46.843283582089555,Medium Risk,60,Y,16.08,0.0,16.08
Male,Yes,0,Not Graduate,Yes,4695,0.0,96,360,1,Urban,Y,4695.0,8.454253391642363,4.564348191467836,48.90625,Medium Risk,60,Y,11.52,0.0,11.52
Female,No,0,Graduate,No,3410,0.0,88,360,1,Urban,Y,3410.0,8.134467570277563,4.477336814478207,38.75,Medium Risk,70,Y,10.559999999999999,0.0,10.559999999999999
Male,Yes,1,Graduate,No,5649,0.0,44,360,1,Urban,Y,5649.0,8.639233817325263,3.784189633918261,128.38636363636363,Low Risk,90,Y,5.279999999999999,0.0,5.279999999999999
Male,Yes,0,Graduate,No,5821,0.0,144,360,1,Urban,Y,5821.0,8.669227347271736,4.969813299576001,40.423611111111114,Medium Risk,70,Y,17.28,0.0,17.28
Female,Yes,0,Graduate,No,2645,3440.0,120,360,0,Urban,N,6085.0,8.713582005421628,4.787491742782046,50.708333333333336,Medium Risk,20,N,14.399999999999999,0.0,14.399999999999999
Female,No,0,Graduate,No,4000,2275.0,144,360,1,Semiurban,Y,6275.0,8.744328763999984,4.969813299576001,43.576388888888886,Medium Risk,60,Y,17.28,0.0,17.28
Female,Yes,0,Not Graduate,No,1928,1644.0,100,360,1,Semiurban,Y,3572.0,8.18088094199639,4.605170185988092,35.72,Medium Risk,50,N,12.0,0.0,12.0
Female,No,0,Graduate,No,3086,0.0,120,360,1,Semiurban,Y,3086.0,8.034631032923107,4.787491742782046,25.716666666666665,High Risk,60,Y,14.399999999999999,60.0,-45.6
Female,No,0,Graduate,No,4230,0.0,112,360,1,Semiurban,N,4230.0,8.349957272040324,4.718498871295094,37.767857142857146,Medium Risk,60,Y,13.44,0.0,13.44
Male,Yes,2,Graduate,No,4616,0.0,134,360,1,Urban,N,4616.0,8.437283808187935,4.897839799950911,34.44776119402985,Medium Risk,70,Y,16.08,0.0,16.08
Female,Yes,1,Graduate,Yes,11500,0.0,286,360,0,Urban,N,11500.0,9.350102314351341,5.655991810819852,40.20979020979021,Medium Risk,20,N,34.32,0.0,34.32
Male,Yes,2,Graduate,No,2708,1167.0,97,360,1,Semiurban,Y,3875.0,8.262300941787448,4.574710978503383,39.94845360824742,Medium Risk,60,Y,11.639999999999999,0.0,11.639999999999999
Male,Yes,0,Graduate,No,2132,1591.0,96,360,1,Semiurban,Y,3723.0,8.222285073872717,4.564348191467836,38.78125,Medium Risk,60,Y,11.52,0.0,11.52
Male,Yes,0,Graduate,No,3366,2200.0,135,360,1,Rural,N,5566.0,8.624431942085836,4.90527477843843,41.22962962962963,Medium Risk,60,Y,16.2,0.0,16.2
Male,Yes,1,Graduate,No,8080,2250.0,180,360,1,Urban,Y,10330.0,9.242807562113684,5.19295685089021,57.388888888888886,Medium Risk,70,Y,21.599999999999998,0.0,21.599999999999998
Male,Yes,2,Not Graduate,No,3357,2859.0,144,360,1,Urban,Y,6216.0,8.734881892047483,4.969813299576001,43.166666666666664,Medium Risk,60,Y,17.28,0.0,17.28
Male,Yes,0,Graduate,No,2500,3796.0,120,360,1,Urban,Y,6296.0,8.74766979009724,4.787491742782046,52.46666666666667,Medium Risk,70,Y,14.399999999999999,0.0,14.399999999999999
Male,Yes,3,Graduate,No,3029,0.0,99,360,1,Urban,Y,3029.0,8.015987811027237,4.59511985013459,30.595959595959595,Medium Risk,70,Y,11.879999999999999,0.0,11.879999999999999
Male,Yes,0,Not Graduate,Yes,2609,3449.0,165,180,0,Rural,N,6058.0,8.709134991587183,5.10594547390058,36.71515151515152,Medium Risk,0,N,19.8,0.0,19.8
Male,Yes,1,Graduate,No,4945,0.0,127,360,0,Rural,N,4945.0,8.506132244056813,4.844187086458591,38.93700787401575,Medium Risk,10,N,15.24,0.0,15.24
Female,No,0,Graduate,No,4166,0.0,116,360,0,Semiurban,N,4166.0,8.334711621820917,4.7535901911063645,35.91379310344828,Medium Risk,10,N,13.92,0.0,13.92
Male,Yes,0,Graduate,No,5726,4595.0,258,360,1,Semiurban,N,10321.0,9.241935933565934,5.552959584921617,40.00387596899225,Medium Risk,60,Y,30.959999999999997,0.0,30.959999999999997
Male,No,0,Not Graduate,No,3200,2254.0,126,180,0,Urban,N,5454.0,8.604104563405533,4.836281906951478,43.285714285714285,Medium Risk,10,N,15.12,0.0,15.12
Male,Yes,1,Graduate,No,10750,0.0,312,360,1,Urban,Y,10750.0,9.28266103355581,5.7430031878094825,34.455128205128204,Medium Risk,70,Y,37.44,0.0,37.44
Male,Yes,3,Not Graduate,Yes,7100,0.0,125,60,1,Urban,Y,7100.0,8.867850063029406,4.8283137373023015,56.8,Medium Risk,60,Y,15.0,0.0,15.0
Female,No,0,Graduate,No,4300,0.0,136,360,0,Semiurban,N,4300.0,8.366370301681654,4.912654885736052,31.61764705882353,Medium Risk,10,N,16.32,0.0,16.32
Male,Yes,0,Graduate,No,3208,3066.0,172,360,1,Urban,Y,6274.0,8.744169388750624,5.147494476813453,36.47674418604651,Medium Risk,70,Y,20.64,0.0,20.64
Male,Yes,2,Not Graduate,Yes,1875,1875.0,97,360,1,Semiurban,Y,3750.0,8.229511118964457,4.574710978503383,38.65979381443299,Medium Risk,50,N,11.639999999999999,0.0,11.639999999999999
Male,No,0,Graduate,No,3500,0.0,81,300,1,Semiurban,Y,3500.0,8.160518247477505,4.394449154672439,43.20987654320987,Medium Risk,60,Y,9.719999999999999,0.0,9.719999999999999
Male,Yes,3,Not Graduate,No,4755,0.0,95,360,0,Semiurban,N,4755.0,8.46695197497949,4.553876891600541,50.05263157894737,Medium Risk,0,N,11.4,0.0,11.4
Male,Yes,3,Graduate,Yes,5266,1774.0,187,360,1,Semiurban,Y,7040.0,8.859363449152088,5.231108616854587,37.64705882352941,Medium Risk,60,Y,22.439999999999998,0.0,22.439999999999998
Male,No,0,Graduate,No,3750,0.0,113,480,1,Urban,N,3750.0,8.229511118964457,4.727387818712341,33.1858407079646,Medium Risk,70,Y,13.559999999999999,0.0,13.559999999999999
Male,No,0,Graduate,No,3750,4750.0,176,360,1,Urban,N,8500.0,9.047821442478408,5.170483995038151,48.29545454545455,Medium Risk,70,Y,21.119999999999997,0.0,21.119999999999997
Male,Yes,1,Graduate,Yes,1000,3022.0,110,360,1,Urban,N,4022.0,8.299534570332597,4.700480365792417,36.56363636363636,Medium Risk,70,Y,13.2,0.0,13.2
Male,Yes,3,Graduate,No,3167,4000.0,180,300,0,Semiurban,N,7167.0,8.877242435993919,5.19295685089021,39.81666666666667,Medium Risk,10,N,21.599999999999998,0.0,21.599999999999998
Male,Yes,3,Not Graduate,Yes,3333,2166.0,130,360,1,Semiurban,Y,5499.0,8.612321536507814,4.867534450455582,42.3,Medium Risk,50,N,15.6,0.0,15.6
Female,No,0,Graduate,No,3846,0.0,111,360,1,Semiurban,Y,3846.0,8.254788926148725,4.709530201312334,34.648648648648646,Medium Risk,60,Y,13.32,0.0,13.32
Male,Yes,1,Graduate,Yes,2395,0.0,127,360,1,Semiurban,Y,2395.0,7.781138509845015,4.844187086458591,18.858267716535433,High Risk,60,Y,15.24,63.5,-48.26
Female,Yes,2,Graduate,No,1378,1881.0,167,360,1,Urban,N,3259.0,8.089175678837561,5.117993812416755,19.51497005988024,High Risk,70,Y,20.04,83.5,-63.46
Male,Yes,0,Graduate,No,6000,2250.0,265,360,1,Semiurban,N,8250.0,9.017968479328726,5.579729825986222,31.132075471698112,Medium Risk,60,Y,31.799999999999997,0.0,31.799999999999997
Male,Yes,1,Graduate,No,3988,0.0,50,240,1,Urban,Y,3988.0,8.291045131081729,3.912023005428146,79.76,Low Risk,90,Y,6.0,0.0,6.0
Male,No,0,Graduate,No,2366,2531.0,136,360,1,Semiurban,Y,4897.0,8.496378051702317,4.912654885736052,36.00735294117647,Medium Risk,60,Y,16.32,0.0,16.32
Male,Yes,2,Not Graduate,No,3333,2000.0,99,360,1,Semiurban,Y,5333.0,8.581669210600602,4.59511985013459,53.86868686868687,Medium Risk,50,N,11.879999999999999,0.0,11.879999999999999
Male,Yes,0,Graduate,No,2500,2118.0,104,360,1,Semiurban,Y,4618.0,8.43771698991444,4.6443908991413725,44.40384615384615,Medium Risk,60,Y,12.48,0.0,12.48
Male,No,0,Graduate,No,8566,0.0,210,360,1,Urban,Y,8566.0,9.055556158175316,5.3471075307174685,40.79047619047619,Medium Risk,70,Y,25.2,0.0,25.2
Male,Yes,0,Graduate,No,5695,4167.0,175,360,1,Semiurban,Y,9862.0,9.196444266784072,5.1647859739235145,56.354285714285716,Medium Risk,60,Y,21.0,0.0,21.0
Male,Yes,0,Graduate,No,2958,2900.0,131,360,1,Semiurban,Y,5858.0,8.675563527387679,4.875197323201151,44.717557251908396,Medium Risk,60,Y,15.719999999999999,0.0,15.719999999999999
Male,Yes,2,Graduate,No,6250,5654.0,188,180,1,Semiurban,Y,11904.0,9.384629757072872,5.236441962829949,63.319148936170215,Low Risk,80,Y,22.56,0.0,22.56
Male,Yes,2,Not Graduate,No,3273,1820.0,81,360,1,Urban,Y,5093.0,8.535622326884605,4.394449154672439,62.876543209876544,Low Risk,80,Y,9.719999999999999,0.0,9.719999999999999
Male,No,0,Graduate,No,4133,0.0,122,360,1,Semiurban,Y,4133.0,8.326758814511733,4.804021044733257,33.877049180327866,Medium Risk,60,Y,14.639999999999999,0.0,14.639999999999999
Male,No,0,Not Graduate,No,3620,0.0,25,120,1,Semiurban,Y,3620.0,8.194229304819817,3.2188758248682006,144.8,Low Risk,70,Y,3.0,0.0,3.0
Male,No,0,Graduate,Yes,6782,0.0,127,360,1,Urban,N,6782.0,8.822027322685583,4.844187086458591,53.40157480314961,Medium Risk,70,Y,15.24,0.0,15.24
Female,Yes,0,Graduate,No,2484,2302.0,137,360,1,Semiurban,Y,4786.0,8.47345026846832,4.919980925828125,34.934306569343065,Medium Risk,60,Y,16.439999999999998,0.0,16.439999999999998
Male,Yes,0,Graduate,No,1977,997.0,50,360,1,Semiurban,Y,2974.0,7.9976631270201,3.912023005428146,59.48,Medium Risk,60,Y,6.0,0.0,6.0
Male,Yes,0,Not Graduate,No,4188,0.0,115,180,1,Semiurban,Y,4188.0,8.339978571990427,4.74493212836325,36.417391304347824,Medium Risk,50,N,13.799999999999999,0.0,13.799999999999999
Male,Yes,0,Graduate,No,1759,3541.0,131,360,1,Semiurban,Y,5300.0,8.575462099540212,4.875197323201151,40.458015267175576,Medium Risk,60,Y,15.719999999999999,0.0,15.719999999999999
Male,Yes,2,Not Graduate,No,4288,3263.0,133,180,1,Urban,Y,7551.0,8.929435283803425,4.890349128221754,56.774436090225564,Medium Risk,60,Y,15.959999999999999,0.0,15.959999999999999
Male,No,0,Graduate,No,4843,3806.0,151,360,1,Semiurban,Y,8649.0,9.065198986306513,5.017279836814924,57.27814569536424,Medium Risk,60,Y,18.12,0.0,18.12
Male,Yes,0,Graduate,No,13650,0.0,127,360,1,Urban,Y,13650.0,9.521494800613105,4.844187086458591,107.48031496062993,Low Risk,90,Y,15.24,0.0,15.24
Male,Yes,0,Graduate,No,4652,3583.0,127,360,1,Semiurban,Y,8235.0,9.016148642611741,4.844187086458591,64.84251968503936,Low Risk,80,Y,15.24,0.0,15.24
Male,Yes,1,Graduate,No,3052,1030.0,100,360,1,Urban,Y,4082.0,8.31434234336979,4.605170185988092,40.82,Medium Risk,70,Y,12.0,0.0,12.0
Male,Yes,2,Graduate,No,11417,1126.0,225,360,1,Urban,Y,12543.0,9.436918020024674,5.41610040220442,55.74666666666667,Medium Risk,70,Y,27.0,0.0,27.0
Male,No,0,Not Graduate,Yes,7333,0.0,120,360,1,Rural,N,7333.0,8.9001399880938,4.787491742782046,61.108333333333334,Low Risk,70,Y,14.399999999999999,0.0,14.399999999999999
Male,Yes,2,Graduate,No,3800,3600.0,216,360,0,Urban,N,7400.0,8.909235279192261,5.375278407684165,34.25925925925926,Medium Risk,20,N,25.919999999999998,0.0,25.919999999999998
Male,Yes,3,Not Graduate,No,2071,754.0,94,480,1,Semiurban,Y,2825.0,7.946263643580541,4.543294782270004,30.0531914893617,Medium Risk,50,N,11.28,0.0,11.28
Male,No,0,Graduate,No,5316,0.0,136,360,1,Urban,Y,5316.0,8.578476419833136,4.912654885736052,39.088235294117645,Medium Risk,70,Y,16.32,0.0,16.32
Female,Yes,0,Graduate,Yes,2929,2333.0,139,360,1,Semiurban,Y,5262.0,8.568266461600238,4.9344739331306915,37.856115107913666,Medium Risk,60,Y,16.68,0.0,16.68
Male,Yes,0,Not Graduate,No,3572,4114.0,152,360,0,Rural,N,7686.0,8.94715577112479,5.0238805208462765,50.56578947368421,Medium Risk,0,N,18.24,0.0,18.24
Female,No,1,Graduate,Yes,7451,0.0,127,360,1,Semiurban,Y,7451.0,8.916103530553727,4.844187086458591,58.669291338582674,Medium Risk,60,Y,15.24,0.0,15.24
Male,No,0,Graduate,Yes,5050,0.0,118,360,1,Semiurban,Y,5050.0,8.527143522269405,4.770684624465665,42.79661016949152,Medium Risk,60,Y,14.16,0.0,14.16
Male,Yes,1,Graduate,No,14583,0.0,185,180,1,Rural,Y,14583.0,9.587611745713565,5.220355825078324,78.82702702702703,Low Risk,80,Y,22.2,0.0,22.2
Female,Yes,0,Graduate,No,3167,2283.0,154,360,1,Semiurban,Y,5450.0,8.60337088765729,5.0369526024136295,35.38961038961039,Medium Risk,60,Y,18.48,0.0,18.48
Male,Yes,1,Graduate,No,2214,1398.0,85,360,1,Urban,Y,3612.0,8.192016914536875,4.442651256490317,42.49411764705882,Medium Risk,70,Y,10.2,0.0,10.2
Male,Yes,0,Graduate,No,5568,2142.0,175,360,1,Rural,N,7710.0,8.950273466557375,5.1647859739235145,44.05714285714286,Medium Risk,60,Y,21.0,0.0,21.0
Female,No,0,Graduate,No,10408,0.0,259,360,1,Urban,Y,10408.0,9.250330020192342,5.556828061699537,40.18532818532819,Medium Risk,70,Y,31.08,0.0,31.08
Male,Yes,0,Graduate,No,5667,2667.0,180,360,1,Rural,Y,8334.0,9.0280988119824,5.19295685089021,46.3,Medium Risk,60,Y,21.599999999999998,0.0,21.599999999999998
Female,No,0,Graduate,No,4166,0.0,44,360,1,Semiurban,Y,4166.0,8.334711621820917,3.784189633918261,94.68181818181819,Low Risk,80,Y,5.279999999999999,0.0,5.279999999999999
Female,No,0,Graduate,No,2137,8980.0,137,360,0,Semiurban,Y,11117.0,9.316230747233615,4.919980925828125,81.14598540145985,Low Risk,30,N,16.439999999999998,0.0,16.439999999999998
Male,Yes,2,Graduate,No,2957,0.0,81,360,1,Semiurban,Y,2957.0,7.9919305198524775,4.394449154672439,36.50617283950617,Medium Risk,60,Y,9.719999999999999,0.0,9.719999999999999
Male,Yes,0,Not Graduate,No,4300,2014.0,194,360,1,Rural,Y,6314.0,8.750524669117937,5.267858159063328,32.54639175257732,Medium Risk,50,N,23.279999999999998,0.0,23.279999999999998
Female,No,0,Graduate,No,3692,0.0,93,360,1,Rural,Y,3692.0,8.213923595622743,4.532599493153256,39.69892473118279,Medium Risk,60,Y,11.16,0.0,11.16
Male,No,0,Graduate,No,3865,1640.0,127,360,1,Rural,Y,5505.0,8.61341204915678,4.844187086458591,43.346456692913385,Medium Risk,60,Y,15.24,0.0,15.24
Male,Yes,1,Graduate,Yes,10513,3850.0,160,180,0,Urban,N,14363.0,9.572410734431823,5.075173815233827,89.76875,Low Risk,40,N,19.2,0.0,19.2
Male,Yes,0,Graduate,No,6080,2569.0,182,360,1,Rural,N,8649.0,9.065198986306513,5.204006687076795,47.52197802197802,Medium Risk,60,Y,21.84,0.0,21.84
Male,No,0,Graduate,Yes,20166,0.0,650,480,1,Urban,Y,20166.0,9.91175329695316,6.476972362889683,31.024615384615384,Medium Risk,70,Y,78.0,0.0,78.0
Male,No,0,Graduate,No,2014,1929.0,74,360,1,Urban,Y,3943.0,8.279697133877628,4.30406509320417,53.28378378378378,Medium Risk,70,Y,8.879999999999999,0.0,8.879999999999999
Male,No,0,Graduate,No,2718,0.0,70,360,1,Semiurban,Y,2718.0,7.907651594711089,4.248495242049359,38.82857142857143,Medium Risk,60,Y,8.4,0.0,8.4
Male,Yes,0,Graduate,Yes,3459,0.0,25,120,1,Semiurban,Y,3459.0,8.148734808937169,3.2188758248682006,138.36,Low Risk,80,Y,3.0,0.0,3.0
Male,No,0,Graduate,No,4895,0.0,102,360,1,Semiurban,Y,4895.0,8.49596955496461,4.624972813284271,47.990196078431374,Medium Risk,60,Y,12.24,0.0,12.24
Male,Yes,3,Graduate,No,4000,7750.0,290,360,1,Semiurban,N,11750.0,9.371608519572305,5.66988092298052,40.51724137931034,Medium Risk,60,Y,34.8,0.0,34.8
Female,Yes,0,Graduate,No,4583,0.0,84,360,1,Rural,N,4583.0,8.430109084509125,4.430816798843313,54.55952380952381,Medium Risk,60,Y,10.08,0.0,10.08
Male,Yes,2,Graduate,Yes,3316,3500.0,88,360,1,Urban,Y,6816.0,8.827028068509152,4.477336814478207,77.45454545454545,Low Risk,90,Y,10.559999999999999,0.0,10.559999999999999
Male,No,0,Graduate,No,14999,0.0,242,360,0,Semiurban,N,14999.0,9.61573881119536,5.488937726156687,61.97933884297521,Low Risk,30,N,29.04,0.0,29.04
Male,Yes,2,Not Graduate,No,4200,1430.0,129,360,1,Rural,N,5630.0,8.635864721133736,4.859812404361672,43.64341085271318,Medium Risk,50,N,15.479999999999999,0.0,15.479999999999999
Male,Yes,2,Graduate,No,5042,2083.0,185,360,1,Rural,N,7125.0,8.871365005136852,5.220355825078324,38.513513513513516,Medium Risk,60,Y,22.2,0.0,22.2
Male,No,0,Graduate,No,5417,0.0,168,360,1,Urban,Y,5417.0,8.597297435657898,5.123963979403259,32.24404761904762,Medium Risk,70,Y,20.16,0.0,20.16
Male,No,0,Graduate,Yes,6950,0.0,175,180,1,Semiurban,Y,6950.0,8.846496938558838,5.1647859739235145,39.714285714285715,Medium Risk,60,Y,21.0,0.0,21.0
Male,Yes,0,Graduate,No,2698,2034.0,122,360,1,Semiurban,Y,4732.0,8.462103225098277,4.804021044733257,38.78688524590164,Medium Risk,60,Y,14.639999999999999,0.0,14.639999999999999
Male,Yes,2,Graduate,No,11757,0.0,187,180,1,Urban,Y,11757.0,9.372204086867741,5.231108616854587,62.8716577540107,Low Risk,90,Y,22.439999999999998,0.0,22.439999999999998
Female,Yes,0,Graduate,No,2330,4486.0,100,360,1,Semiurban,Y,6816.0,8.827028068509152,4.605170185988092,68.16,Low Risk,80,Y,12.0,0.0,12.0
Female,Yes,2,Graduate,No,14866,0.0,70,360,1,Urban,Y,14866.0,9.60683200528524,4.248495242049359,212.37142857142857,Low Risk,90,Y,8.4,0.0,8.4
Male,Yes,1,Graduate,No,1538,1425.0,30,360,1,Urban,Y,2963.0,7.993957547573565,3.4011973816621555,98.76666666666667,Low Risk,90,Y,3.5999999999999996,0.0,3.5999999999999996
Female,No,0,Graduate,No,10000,1666.0,225,360,1,Rural,N,11666.0,9.364433907313582,5.41610040220442,51.84888888888889,Medium Risk,60,Y,27.0,0.0,27.0
Male,Yes,0,Graduate,No,4860,830.0,125,360,1,Semiurban,Y,5690.0,8.646465527120377,4.8283137373023015,45.52,Medium Risk,60,Y,15.0,0.0,15.0
Male,No,0,Graduate,No,6277,0.0,118,360,0,Rural,N,6277.0,8.744647438317532,4.770684624465665,53.19491525423729,Medium Risk,10,N,14.16,0.0,14.16
